item_id,translator,precomposed_n,seg_mismatch,n_seg_src,n_seg_hyp,len_ratio,consensus_chrf,bengali_frac,assamese_n,devanagari_n,double_virama_n,other_script_n,other_script_chars,bn_option_labels_n,latin_word_n,latin_words,gloss_n,num_src,num_missing,num_hard_n,num_soft_n,num_missing_list,num_recall,dup_option_n,roundtrip_chrf,len_z,cometkiwi_mean,cometkiwi_min,metricx_mean,metricx_min,metricx_err_mean,metricx_err_max,labse_mean,labse_min,n_seg_scored,option_swap_n,option_swaps,decision,decision_reason
US-00001,gpt-oss:120b,0,0,7,7,0.9706275033377836,,0.9836956521739132,0,0,0,0,,0,0,,0,6,0,0,0,,1.0,0,68.69549726534676,0.5994063654507951,0.8072006787572589,0.6690263152122498,-1.637196340731212,-4.468317031860352,1.637196340731212,4.468317031860352,0.7139141133853367,0.5364000201225281,7,0,,PASS,
US-00002,gpt-oss:120b,0,0,7,7,1.0583804143126176,,0.9725776965265084,0,0,0,0,,0,0,,1,10,0,0,0,,1.0,0,78.15032601453473,2.4119758591603784,0.8514938013894218,0.782433807849884,-0.9012594159160342,-4.916184425354004,0.9012594159160342,4.916184425354004,0.8212240082877023,0.725441038608551,7,0,,PASS,
US-00003,gpt-oss:120b,1,0,8,8,0.8951406649616368,,0.9823182711198428,0,0,0,0,,0,0,,0,10,0,0,0,,1.0,0,69.09421509893401,-0.9598027695764046,0.8163235783576965,0.6011785864830017,-1.3881368087604642,-5.1339921951293945,1.3881368087604642,5.1339921951293945,0.7579915225505829,0.5525963306427002,8,0,,PASS,
US-00004,gpt-oss:120b,0,0,7,7,0.8993506493506493,,0.9800498753117208,0,0,0,0,,0,0,,0,7,0,0,0,,1.0,0,72.59595421395298,-0.872843953193594,0.8620633397783551,0.8013048768043518,-1.7277923098632268,-5.5490922927856445,1.7277923098632268,5.5490922927856445,0.8348454066685268,0.754577100276947,7,0,,PASS,
US-00005,gpt-oss:120b,0,0,7,7,0.9349775784753364,,0.9801652892561984,0,0,0,0,,0,0,,0,10,0,0,0,,1.0,0,70.640328856845,-0.1369562866923593,0.770639887877873,0.699536144733429,-2.253075050456183,-5.167098045349121,2.253075050456183,5.167098045349121,0.8177005563463483,0.7102771997451782,7,0,,PASS,
US-00006,gpt-oss:120b,0,0,7,7,0.9037927844588344,,0.987603305785124,0,0,0,0,,0,0,,0,4,0,0,0,,1.0,0,73.72549515657792,-0.7810899760937164,0.8419253655842373,0.7881312966346741,-1.1516765526362829,-3.171182632446289,1.1516765526362829,3.171182632446289,0.7431515795843942,0.6039369106292725,7,0,,PASS,
US-00007,gpt-oss:120b,0,0,9,9,0.9978118161925602,,0.9826839826839828,0,0,0,0,,0,0,,0,6,0,0,0,,1.0,0,71.10054740743796,1.1609086066944614,0.8696801993581984,0.8293217420578003,-1.0037568757931392,-3.244865894317627,1.0037568757931392,3.244865894317627,0.8257317476802402,0.6238080263137817,9,0,,PASS,
US-00008,gpt-oss:120b,0,0,9,9,0.9675174013921114,,0.9368770764119602,0,0,0,0,,0,0,,1,17,0,0,0,,1.0,0,79.06461800379586,0.5351660360254944,0.7994230654504564,0.6724108457565308,-1.323870975110266,-5.461875915527344,1.323870975110266,5.461875915527344,0.8018232385317484,0.7190039157867432,9,0,,PASS,
US-00009,gpt-oss:120b,0,0,8,8,0.892354124748491,,0.9495412844036696,0,0,0,1,ਮ,0,0,,0,12,1,1,0,101.3,0.9166666666666666,0,70.82580220280073,-1.0173598093057377,0.8482051938772202,0.750495195388794,-1.4574473826214671,-5.604465484619141,1.4574473826214671,5.604465484619141,0.8089684695005417,0.6852973103523254,8,0,,FLAG,hard:other_script_n;hard:num_hard_n
US-00010,gpt-oss:120b,0,0,9,9,0.9749536178107606,,0.9848771266540642,0,0,0,0,,0,0,,0,4,0,0,0,,1.0,0,84.76831612253918,0.6887638925448224,0.827995777130127,0.7420980930328369,-0.938346327179008,-2.904524326324463,0.938346327179008,2.904524326324463,0.8381756279203627,0.7092861533164978,9,0,,PASS,
US-00011,gpt-oss:120b,0,0,8,8,0.903846153846154,,0.8969359331476323,0,0,0,0,,0,0,,0,32,0,0,0,,1.0,0,75.65753057614818,-0.7799876112572839,0.8424582332372665,0.621272623538971,-1.2507738722488284,-6.314865112304688,1.2507738722488284,6.314865112304688,0.7965790256857872,0.684410810470581,8,0,,PASS,
US-00012,gpt-oss:120b,0,0,6,6,1.0616016427104722,,0.9828571428571428,0,0,0,0,,0,0,,0,9,0,0,0,,1.0,0,66.15274880735079,2.4785115473940893,0.7941232820351919,0.5756572484970093,-1.6822158793608348,-4.026712894439697,1.6822158793608348,4.026712894439697,0.7679957250754038,0.6834045648574829,6,0,,PASS,
US-00013,gpt-oss:120b,0,0,8,8,0.8932633420822397,,0.9760956175298804,0,0,0,0,,0,0,,0,7,1,1,0,101.2,0.8571428571428572,0,68.65157292994881,-0.9985795821429316,0.7896751090884209,0.6081619262695312,-1.9228134900331495,-5.001701831817627,1.9228134900331495,5.001701831817627,0.7296037077903748,0.3412346243858337,8,1,D->E,FLAG,hard:num_hard_n;hard:option_swap_n
US-00014,gpt-oss:120b,0,0,10,10,0.8526812021213906,,0.9237057220708448,0,0,0,0,,0,0,,0,10,1,1,0,100.0,0.9,0,72.53359577838103,-1.836818998537708,0.8760590434074402,0.8605576753616333,-2.8065781354904176,-7.149250984191895,2.8065781354904176,7.149250984191895,0.8348710596561432,0.7888416051864624,10,1,B->A,FLAG,hard:num_hard_n;hard:option_swap_n
US-00015,gpt-oss:120b,0,0,9,9,0.8448883666274971,,0.9583333333333334,0,0,0,0,,0,0,,0,7,1,1,0,98.4,0.8571428571428572,0,67.64668824618842,-1.9977829566425225,0.8720714449882507,0.8372737169265747,-1.5380485008160274,-6.115647315979004,1.5380485008160274,6.115647315979004,0.8019012411435446,0.3881042599678039,9,0,,FLAG,hard:num_hard_n
US-00016,gpt-oss:120b,0,0,6,6,0.9718181818181818,,0.9824902723735408,0,0,0,0,,0,0,,0,17,0,0,0,,1.0,0,79.75067315619185,0.6240002788197206,0.861706018447876,0.7838201522827148,-1.3739800850550334,-4.367221832275391,1.3739800850550334,4.367221832275391,0.6828695038954417,0.546940267086029,6,0,,PASS,
US-00017,gpt-oss:120b,0,0,6,6,0.9921465968586388,,0.972972972972973,0,0,0,0,,0,0,,0,16,0,0,0,,1.0,0,70.96105944996658,1.0438913633259228,0.8511159618695577,0.8013219833374023,-1.3115611573060353,-3.592404365539551,1.3115611573060353,3.592404365539551,0.7176776031653086,0.5965323448181152,6,0,,PASS,
US-00018,gpt-oss:120b,0,0,7,7,0.9287128712871288,,0.9692982456140352,0,0,0,0,,0,0,,0,11,0,0,0,,1.0,0,67.1855823788129,-0.2663561779349953,0.8216625622340611,0.7966808080673218,-1.4490869832890374,-4.771673202514648,1.4490869832890374,4.771673202514648,0.8325346197400775,0.7879809141159058,7,0,,PASS,
US-00019,gpt-oss:120b,0,0,8,8,0.8582781456953642,,0.9782608695652174,0,0,0,0,,0,0,,0,5,0,0,0,,1.0,0,58.626705881508926,-1.721212016757836,0.7969472408294678,0.6315354108810425,-4.517839759588242,-10.033472061157228,4.517839759588242,10.033472061157228,0.7123330682516098,0.4730816483497619,8,0,,PASS,
US-00020,gpt-oss:120b,0,0,6,6,0.8892589508742714,,0.9502868068833652,0,0,0,0,,0,0,,0,13,0,0,0,,1.0,0,71.1721128457698,-1.0812917937813995,0.8289278050263723,0.6918398141860962,-1.4126213466127713,-5.879569053649902,1.4126213466127713,5.879569053649902,0.8182003299395243,0.6472982168197632,6,0,,PASS,
US-00021,gpt-oss:120b,0,0,7,7,0.9540682414698164,,0.9832402234636872,0,0,0,0,,0,0,,0,4,0,0,0,,1.0,0,71.08665191577113,0.2573685621825498,0.861714848450252,0.8378452062606812,-1.6242916669164384,-3.766604423522949,1.6242916669164384,3.766604423522949,0.767031865460532,0.670669436454773,7,1,F->A,FLAG,hard:option_swap_n
US-00022,gpt-oss:120b,0,0,7,7,1.0043525571273122,,0.9370786516853932,0,0,0,0,,0,0,,0,10,0,0,0,,1.0,0,73.12245337270423,1.2960100791457734,0.8534487741334098,0.7336118817329407,-0.6393659625734601,-2.7935562133789062,0.6393659625734601,2.7935562133789062,0.7737137419836861,0.6004430055618286,7,0,,PASS,
US-00023,gpt-oss:120b,0,0,7,7,1.0382608695652171,,0.9735973597359736,0,0,0,0,,0,0,,0,10,0,0,0,,1.0,0,64.91577813648678,1.996399069383899,0.8347945979663304,0.7866219282150269,-1.9543190343039376,-5.336991310119629,1.9543190343039376,5.336991310119629,0.7796127881322589,0.6378092765808105,7,0,,PASS,
US-00024,gpt-oss:120b,0,0,8,8,0.9731285988483686,,0.9673469387755104,0,0,0,0,,0,0,,0,16,0,0,0,,1.0,0,74.6528897891662,0.6510674371232803,0.8428987041115761,0.7550230026245117,-0.930100305005908,-2.334555149078369,0.930100305005908,2.334555149078369,0.7107943147420883,0.3079908490180969,8,2,B->C;E->F,FLAG,hard:option_swap_n
US-00025,gpt-oss:120b,0,0,8,8,0.898,,0.9634703196347032,0,0,0,0,,0,0,,0,14,0,0,0,,1.0,0,73.85211296383743,-0.9007421252597916,0.8581322729587555,0.7455377578735352,-0.9551269616931676,-3.341927289962769,0.9551269616931676,3.341927289962769,0.7988515496253967,0.6473565101623535,8,0,,PASS,
US-00026,gpt-oss:120b,0,0,8,8,0.9103972950126796,,0.966542750929368,0,0,0,0,,0,0,,0,11,0,0,0,,1.0,0,74.62202231029009,-0.6446713180936872,0.8418500646948814,0.7383498549461365,-1.83886428643018,-6.538206100463867,1.83886428643018,6.538206100463867,0.7678803279995918,0.5606417059898376,8,0,,PASS,
US-00027,gpt-oss:120b,0,0,7,7,0.8154706430568499,,0.9627906976744186,0,0,0,0,,0,0,,0,8,1,0,1,30,0.875,0,68.39184410223204,-2.605417139100905,0.825700547013964,0.7758863568305969,-1.3559845685958862,-5.745609283447266,1.3559845685958862,5.745609283447266,0.7689883708953857,0.5546032786369324,7,0,,REVIEW,soft:num_soft_n
US-00028,gpt-oss:120b,0,0,6,6,0.9612590799031476,,0.952127659574468,0,0,0,0,,0,0,,0,10,0,0,0,,1.0,0,70.36118415787628,0.4058980438106739,0.8667887051900228,0.8328580260276794,-2.2186363438765206,-7.0741705894470215,2.2186363438765206,7.0741705894470215,0.8161211411158243,0.6956968903541565,6,0,,PASS,
US-00029,gpt-oss:120b,0,0,6,6,0.8851022395326192,,0.989106753812636,0,0,0,0,,0,0,,0,7,0,0,0,,1.0,0,64.15305629701506,-1.1671502352659917,0.8497441112995148,0.8280568718910217,-1.3304757370303075,-4.505138397216797,1.3304757370303075,4.505138397216797,0.7260106404622396,0.5212842226028442,6,1,E->D,FLAG,hard:option_swap_n
US-00030,gpt-oss:120b,0,0,9,9,0.9535830618892508,,0.9045996592844976,0,0,0,0,,0,0,,0,14,0,0,0,,1.0,0,71.25170122841563,0.2473469948415414,0.8638177182939317,0.8112083673477173,-1.493601694289181,-6.953586578369141,1.493601694289181,6.953586578369141,0.8695252272817824,0.8338342905044556,9,0,,PASS,
US-00031,gpt-oss:120b,0,0,6,6,0.8943022295623452,,0.8809946714031972,0,0,0,0,,0,0,,0,7,0,0,0,,1.0,0,66.69008386427035,-0.9771209691702396,0.8311850726604462,0.7883386015892029,-4.116642038027446,-5.604891777038574,4.116642038027446,5.604891777038574,0.9801186720530192,0.8807117938995361,6,0,,PASS,
US-00032,gpt-oss:120b,0,0,8,8,0.8754925137903862,,0.9642857142857144,0,0,0,0,,0,0,,0,13,0,0,0,,1.0,0,68.94561899949984,-1.3656427471358557,0.8491353988647461,0.7197538614273071,-1.3887579799629748,-4.492134094238281,1.3887579799629748,4.492134094238281,0.813571386039257,0.5811822414398193,8,0,,PASS,
US-00033,gpt-oss:120b,0,0,7,7,0.8966061562746646,,0.952296819787986,0,0,0,0,,0,0,,0,14,0,0,0,,1.0,0,74.5781016617197,-0.9295324934364791,0.8354599220412118,0.7341822981834412,-1.6997615439551217,-4.058803558349609,1.6997615439551217,4.058803558349609,0.8198279142379761,0.7132748365402222,7,0,,PASS,
US-00034,gpt-oss:120b,0,0,8,8,0.981640146878825,,0.973365617433414,0,0,0,0,,0,0,,0,5,0,0,0,,1.0,0,65.98441100894219,0.8268766739094374,0.8270760774612427,0.7111719846725464,-1.6941641233861446,-5.734651565551758,1.6941641233861446,5.734651565551758,0.7982875034213066,0.5875728130340576,8,0,,PASS,
US-00035,gpt-oss:120b,0,0,7,7,0.9374217772215268,,0.9498607242339832,0,0,0,0,,0,0,,0,9,0,0,0,,1.0,0,73.86370659200782,-0.0864704391610033,0.856880417891911,0.8188281655311584,-1.2221511176654272,-4.542442321777344,1.2221511176654272,4.542442321777344,0.838440580027444,0.7209100723266602,7,0,,PASS,
US-00036,gpt-oss:120b,0,0,7,7,0.9039473684210526,,0.979591836734694,0,2,0,0,पा,0,0,,0,2,0,0,0,,1.0,0,66.79934000729767,-0.7778969860148588,0.8700167962482998,0.841762363910675,-2.064131932599204,-4.287567138671875,2.064131932599204,4.287567138671875,0.8452329465321132,0.7681030035018921,7,0,,FLAG,hard:devanagari_n
US-00037,gpt-oss:120b,0,0,7,7,0.9326347305389222,,0.9616613418530352,0,0,0,0,,0,0,,0,8,0,0,0,,1.0,0,70.77703835753873,-0.185348694998479,0.8118635926927839,0.6541892290115356,-2.19134744150298,-5.442275047302246,2.19134744150298,5.442275047302246,0.6829695446150643,0.4636062383651733,7,0,,PASS,
US-00038,gpt-oss:120b,0,0,8,8,0.9957325746799432,,0.9803370786516854,0,0,0,0,,0,0,,0,9,0,0,0,,1.0,0,62.79456743885341,1.1179610885556603,0.7999598532915115,0.6922438144683838,-1.169125009328127,-3.819928169250488,1.169125009328127,3.819928169250488,0.675738587975502,0.5377129316329956,8,0,,PASS,
US-00039,gpt-oss:120b,0,0,6,6,1.0,,0.9793388429752066,0,0,0,0,,0,0,,0,2,0,0,0,,1.0,0,63.31193279693805,1.2061063690471212,0.8286042710145315,0.6776952743530273,-0.9700841307640076,-1.649505615234375,0.9700841307640076,1.649505615234375,0.7662287354469299,0.5992211699485779,6,0,,PASS,
US-00040,gpt-oss:120b,0,0,6,6,0.9085603112840468,,0.9892008639308856,0,0,0,0,,0,0,,0,4,0,0,0,,1.0,0,67.21896633377983,-0.6826149102773795,0.8650339047114054,0.8341078758239746,-1.2354782931506634,-5.8451247215271,1.2354782931506634,5.8451247215271,0.8222977519035339,0.6452586650848389,6,0,,PASS,
US-00041,gpt-oss:120b,0,0,8,8,0.947119924457035,,0.9507186858316222,0,0,0,0,,0,2,gravida para,0,15,0,0,0,,1.0,0,77.59443520768704,0.1138484520223006,0.823447160422802,0.7937064170837402,-1.1497403029352429,-5.093519687652588,1.1497403029352429,5.093519687652588,0.8468729630112648,0.7661095857620239,8,0,,FLAG,hard:latin_word_n
US-00042,gpt-oss:120b,0,0,10,10,0.963458110516934,,0.9833948339483396,0,0,0,0,,0,0,,0,11,0,0,0,,1.0,0,79.6687200619424,0.451319851041954,0.7971318542957306,0.5270700454711914,-1.934976798295975,-5.02125358581543,1.934976798295975,5.02125358581543,0.7358715295791626,0.3848662376403808,10,0,,PASS,
US-00043,gpt-oss:120b,0,0,7,7,1.0397219463753724,,0.9596928982725528,0,0,0,0,,0,0,,0,14,0,0,0,,1.0,0,71.09813805162946,2.026578162300977,0.8413113525935582,0.763628363609314,-1.0613639226981573,-2.7894768714904785,1.0613639226981573,2.7894768714904785,0.7929831232343402,0.6706631183624268,7,0,,PASS,
US-00044,gpt-oss:120b,0,0,9,9,0.9052631578947368,,0.9875968992248062,0,0,0,0,,0,0,,0,3,0,0,0,,1.0,0,64.08537354810785,-0.7507188578633236,0.8359974490271674,0.740179717540741,-1.895042474278145,-6.440610885620117,1.895042474278145,6.440610885620117,0.7671682238578796,0.6376839876174927,9,0,,PASS,
