item_id,translator,precomposed_n,seg_mismatch,n_seg_src,n_seg_hyp,len_ratio,consensus_chrf,bengali_frac,assamese_n,devanagari_n,double_virama_n,other_script_n,other_script_chars,bn_option_labels_n,latin_word_n,latin_words,gloss_n,num_src,num_missing,num_hard_n,num_soft_n,num_missing_list,num_recall,dup_option_n,roundtrip_chrf,len_z,cometkiwi_mean,cometkiwi_min,metricx_mean,metricx_min,metricx_err_mean,metricx_err_max,labse_mean,labse_min,n_seg_scored,option_swap_n,option_swaps,decision,decision_reason
US-00001,gpt-oss:120b,0,0,7,7,0.9385847797062752,,0.982608695652174,0,0,0,0,,0,0,,0,6,0,0,0,,1.0,0,70.60657345541418,-1.1843768492734077,0.7581722906657627,0.5673820972442627,-2.782440053565161,-6.996510982513428,2.782440053565161,6.996510982513428,0.7447396261351449,0.6038360595703125,7,0,,PASS,
US-00002,gpt-oss:120b,0,0,7,7,1.088512241054614,,0.9892857142857144,0,0,0,0,,0,0,,0,10,0,0,0,,1.0,0,76.04646629063187,1.8067817523131744,0.8440055165972028,0.7348538637161255,-0.9603867935282844,-5.244596004486084,0.9603867935282844,5.244596004486084,0.8136622735432216,0.7254410982131958,7,0,,PASS,
US-00003,gpt-oss:120b,0,0,8,8,0.9667519181585678,,0.9872958257713248,0,0,0,0,,0,0,,0,10,0,0,0,,1.0,0,70.85761899192796,-0.6224225701443502,0.8423495888710022,0.7574599981307983,-1.5609310902655125,-5.202336311340332,1.5609310902655125,5.202336311340332,0.7542917132377625,0.607414960861206,8,0,,PASS,
US-00004,gpt-oss:120b,0,0,7,7,1.0086580086580086,,0.9870967741935484,0,0,0,0,,0,0,,0,7,0,0,0,,1.0,0,69.62202790783171,0.2136334927608792,0.8511926106044224,0.796140193939209,-1.7636626277651106,-5.421848297119141,1.7636626277651106,5.421848297119141,0.8528584667614528,0.7534995079040527,7,0,,PASS,
US-00005,gpt-oss:120b,0,0,7,7,0.9446935724962632,,0.9903069466882068,0,0,0,0,,0,0,,0,10,0,0,0,,1.0,0,76.04962467241134,-1.062502124424776,0.7401306969778878,0.6208046078681946,-2.425342389515468,-5.30864143371582,2.425342389515468,5.30864143371582,0.7603094577789307,0.6177076101303101,7,0,,PASS,
US-00006,gpt-oss:120b,0,0,7,7,0.9148936170212766,,0.9877800407331976,0,0,0,0,,0,0,,0,4,0,0,0,,1.0,0,79.20516519306868,-1.6570322548243364,0.8439593144825527,0.7881312966346741,-1.0490147237266814,-2.674124240875244,1.0490147237266814,2.674124240875244,0.749734912599836,0.6039369106292725,7,0,,PASS,
US-00007,gpt-oss:120b,2,0,9,9,1.0032822757111597,,0.9829059829059827,0,0,0,0,,0,0,,0,6,0,0,0,,1.0,0,74.64641183831169,0.1063838288287978,0.8712298936314053,0.8293216228485107,-0.9233201195796332,-3.244865894317627,0.9233201195796332,3.244865894317627,0.8334896564483643,0.6238080263137817,9,0,,PASS,
US-00008,gpt-oss:120b,0,0,9,9,1.1415313225058004,,0.9887640449438202,0,0,0,0,,0,0,,0,17,0,0,0,,1.0,0,74.80983179170624,2.864549822983524,0.8066805667347379,0.6268084049224854,-1.3940310809347365,-5.84133243560791,1.3940310809347365,5.84133243560791,0.7911685837639703,0.6512809991836548,9,0,,PASS,
US-00009,gpt-oss:120b,0,0,8,8,1.0482897384305836,,0.9860834990059644,0,0,0,0,,0,0,,0,12,0,0,0,,1.0,0,74.31892953403694,1.0043144550001306,0.8265781253576279,0.6271294355392456,-1.2115620402619245,-4.395589828491211,1.2115620402619245,4.395589828491211,0.8093844577670097,0.6129451394081116,8,0,,PASS,
US-00010,gpt-oss:120b,0,0,9,9,0.974025974025974,,0.9848771266540642,0,0,0,0,,0,0,,0,4,0,0,0,,1.0,0,80.27657123071323,-0.4773000250112624,0.8282772832446628,0.7420980930328369,-0.9930064885152712,-3.39646577835083,0.9930064885152712,3.39646577835083,0.8362788293096755,0.7092861533164978,9,0,,PASS,
US-00011,gpt-oss:120b,0,0,8,8,1.0835336538461535,,0.9917936694021102,0,0,0,0,,0,0,,0,32,0,0,0,,1.0,0,74.30103990963653,1.707455425979031,0.8237381801009178,0.5884585976600647,-1.192417548969388,-5.585992336273193,1.192417548969388,5.585992336273193,0.736005924642086,0.5991286039352417,8,0,,PASS,
US-00012,gpt-oss:120b,0,0,6,6,1.017453798767967,,0.9900199600798404,0,0,0,0,,0,0,,0,9,0,0,0,,1.0,0,73.1813561642366,0.3891157093511085,0.8056655128796896,0.7338405847549438,-1.9013863801956177,-4.011739730834961,1.9013863801956177,4.011739730834961,0.8202622930208842,0.6958289742469788,6,0,,PASS,
US-00013,gpt-oss:120b,0,0,8,8,1.0236220472440944,,0.9878048780487804,0,0,0,0,,0,0,,0,7,0,0,0,,1.0,0,73.99176940975529,0.5121766170738432,0.7799744978547096,0.6867364645004272,-1.9359202608466148,-4.362696647644043,1.9359202608466148,4.362696647644043,0.7144329622387886,0.5552544593811035,8,0,,PASS,
US-00014,gpt-oss:120b,0,0,10,10,0.9198585739540366,,0.979643765903308,0,0,0,0,,0,2,Tdap PCR,0,10,0,0,0,,1.0,0,74.4082901350432,-1.5579778621041962,0.8778501749038696,0.8586412668228149,-1.5958258271217347,-6.2137556076049805,1.5958258271217347,6.2137556076049805,0.760209983587265,0.6921736001968384,10,1,B->A,FLAG,hard:latin_word_n;hard:option_swap_n
US-00015,gpt-oss:120b,0,0,9,9,1.024676850763807,,0.9814814814814816,0,0,0,0,,0,0,,0,7,0,0,0,,1.0,0,73.67501954764631,0.533220691272115,0.8763317002190484,0.8415758609771729,-1.2824154363738165,-3.0014264583587646,1.2824154363738165,3.0014264583587646,0.8249720798598396,0.6338421106338501,9,0,,PASS,
US-00016,gpt-oss:120b,0,0,6,6,1.06,,0.9875222816399288,0,0,0,0,,0,1,CD,0,17,0,0,0,,1.0,0,79.48773510420301,1.2379424328580837,0.8562012314796448,0.7548938989639282,-1.5124142467975616,-3.9927663803100586,1.5124142467975616,3.9927663803100586,0.707817792892456,0.6127482056617737,6,0,,FLAG,hard:latin_word_n
US-00017,gpt-oss:120b,0,0,6,6,1.06282722513089,,0.991554054054054,0,0,0,0,,0,0,,0,16,0,0,0,,1.0,0,76.59017665677406,1.294347568333802,0.8417836129665375,0.724827766418457,-1.5020098388195038,-4.734484672546387,1.5020098388195038,4.734484672546387,0.7458378573258718,0.6062936782836914,6,0,,PASS,
US-00018,gpt-oss:120b,1,0,7,7,0.9564356435643564,,0.9872068230277186,0,0,0,0,,0,0,,0,11,0,0,0,,1.0,0,71.03324800090883,-0.8282395246321634,0.8266374639102391,0.8095338344573975,-1.5571183179106032,-3.7777624130249023,1.5571183179106032,3.7777624130249023,0.8158857481820243,0.7812343835830688,7,0,,PASS,
US-00019,gpt-oss:120b,0,0,8,8,1.0079470198675498,,0.9813333333333332,0,0,0,0,,0,0,,0,5,0,0,0,,1.0,0,63.040775461699226,0.1994487649125801,0.799225315451622,0.6305486559867859,-4.183794945478439,-8.29927921295166,4.183794945478439,8.29927921295166,0.724405474960804,0.4730816483497619,8,0,,PASS,
US-00020,gpt-oss:120b,0,0,6,6,1.02248126561199,,0.9917355371900828,0,0,0,0,,0,0,,0,13,0,0,0,,1.0,0,75.49004042023907,0.4894172188907884,0.8179113368193308,0.6257416009902954,-1.4292450348536174,-5.97931432723999,1.4292450348536174,5.97931432723999,0.8154991467793783,0.6472982168197632,6,0,,PASS,
US-00021,gpt-oss:120b,0,0,7,7,0.9278215223097112,,0.9827586206896552,0,0,0,0,,0,0,,0,4,0,0,0,,1.0,0,73.04110560100399,-1.399111425936597,0.8611558505467006,0.8374794721603394,-1.97114320737975,-4.574885368347168,1.97114320737975,4.574885368347168,0.7653335503169468,0.6706694960594177,7,1,F->A,FLAG,hard:option_swap_n
US-00022,gpt-oss:120b,0,0,7,7,1.0772578890097932,,0.9876543209876544,0,0,0,0,,0,0,,0,10,0,0,0,,1.0,0,74.9592766099455,1.5822494910355973,0.8321323139326913,0.7209507822990417,-0.7074646284537656,-3.1360037326812744,0.7074646284537656,3.1360037326812744,0.7751201561519078,0.6004430055618286,7,0,,PASS,
US-00023,gpt-oss:120b,0,0,7,7,0.98,,0.9893617021276596,0,0,0,0,,0,0,,0,10,0,0,0,,1.0,0,74.38242165353611,-0.3581139931955679,0.8470663513456073,0.7846238017082214,-1.7127915216343743,-4.823047637939453,1.7127915216343743,4.823047637939453,0.8069599100521633,0.6008363962173462,7,0,,PASS,
US-00024,gpt-oss:120b,0,0,8,8,1.0403071017274472,,0.9865900383141762,0,0,0,0,,0,0,,0,16,0,0,0,,1.0,0,81.53993899913074,0.8450552224139741,0.8470233976840973,0.7972573041915894,-1.139615360181779,-2.500359535217285,1.139615360181779,2.500359535217285,0.7544337101280689,0.3218949139118194,8,0,,PASS,
US-00025,gpt-oss:120b,0,0,8,8,0.935,,0.9847161572052402,0,0,0,0,,0,0,,0,14,0,0,0,,1.0,0,77.90066848316276,-1.2558957328507447,0.8510289564728737,0.7455381155014038,-1.042061723768711,-3.132210254669189,1.042061723768711,3.132210254669189,0.8148830085992813,0.6473564505577087,8,0,,PASS,
US-00026,gpt-oss:120b,0,0,8,8,0.9568892645815724,,0.9875444839857652,0,0,0,0,,0,0,,0,11,0,0,0,,1.0,0,76.25552178700735,-0.8191894653881578,0.8509040996432304,0.774356484413147,-1.1907058972865343,-3.1401207447052,1.1907058972865343,3.1401207447052,0.7490276545286179,0.5606417059898376,8,0,,PASS,
US-00027,gpt-oss:120b,0,0,7,7,0.9506057781919852,,0.9881656804733728,0,0,0,0,,0,0,,0,8,0,0,0,,1.0,0,75.43910378432669,-0.944549450764674,0.8176412837845939,0.7372212409973145,-1.8704578621046883,-6.240706443786621,1.8704578621046883,6.240706443786621,0.6949078525815692,0.4281262159347534,7,0,,PASS,
US-00028,gpt-oss:120b,0,0,6,6,1.049636803874092,,0.9878640776699028,0,0,0,0,,0,0,,0,10,0,0,0,,1.0,0,73.17393318291235,1.03118936071796,0.8618224660555521,0.8030605912208557,-2.219382052620252,-7.078648567199707,2.219382052620252,7.078648567199707,0.8119275669256846,0.6956969499588013,6,0,,PASS,
US-00029,gpt-oss:120b,0,0,6,6,0.9610516066212268,,0.9897959183673468,0,0,0,0,,0,0,,0,7,0,0,0,,1.0,0,71.18500846934843,-0.7361478058903581,0.8085954288641611,0.7188713550567627,-1.5908570835987728,-4.767292022705078,1.5908570835987728,4.767292022705078,0.7710093160470327,0.6718857288360596,6,0,,PASS,
US-00030,gpt-oss:120b,1,0,9,9,1.1026058631921825,,0.9880239520958084,0,0,0,0,,0,0,,0,14,0,0,0,,1.0,0,70.09835228305477,2.0879594545511515,0.8559253546926711,0.6887683868408203,-1.1464803024298615,-6.8540120124816895,1.1464803024298615,6.8540120124816895,0.865863667594062,0.8120883703231812,9,0,,PASS,
US-00031,gpt-oss:120b,0,0,6,6,1.0016515276630884,,0.99185667752443,0,0,0,0,,0,0,,0,7,0,0,0,,1.0,0,70.56712771937589,0.0738492550613151,0.8659910062948862,0.815371036529541,-1.454780826965968,-3.4227516651153564,1.454780826965968,3.4227516651153564,0.8276418844858805,0.7657643556594849,6,0,,PASS,
US-00032,gpt-oss:120b,0,0,8,8,0.9542947202521672,,0.9829351535836176,0,0,0,0,,0,1,min,0,13,1,1,0,11800.0,0.9230769230769232,0,77.1536305892373,-0.8709524547585107,0.8200652226805687,0.6572662591934204,-1.259914942085743,-6.047076225280762,1.259914942085743,6.047076225280762,0.8167512267827988,0.7029173374176025,8,0,,FLAG,hard:latin_word_n;hard:num_hard_n
US-00033,gpt-oss:120b,1,0,7,7,0.9779005524861878,,0.9901153212520593,0,0,0,0,,0,0,,0,14,0,0,0,,1.0,0,72.05158006398644,-0.3999994518903468,0.8228291273117065,0.6756685972213745,-1.3722228642020906,-3.1339821815490723,1.3722228642020906,3.1339821815490723,0.7924799237932477,0.6664959192276001,7,0,,PASS,
US-00034,gpt-oss:120b,0,0,8,8,0.9840881272949816,,0.9829683698296836,0,0,0,0,,0,0,,0,5,0,0,0,,1.0,0,69.01651669945113,-0.2765529701995581,0.8249352276325226,0.6993637084960938,-1.864817012101412,-5.512514114379883,1.864817012101412,5.512514114379883,0.7973649203777313,0.5405546426773071,8,0,,PASS,
US-00035,gpt-oss:120b,0,0,7,7,1.053817271589487,,0.9853300733496332,0,0,0,0,,0,0,,0,9,0,0,0,,1.0,0,79.24723559792137,1.114592640231284,0.8194589785167149,0.637466549873352,-1.1238201771463667,-2.7366204261779785,1.1238201771463667,2.7366204261779785,0.7795759524617877,0.5689373016357422,7,0,,PASS,
US-00036,gpt-oss:120b,0,0,7,7,0.9289473684210526,,0.9831460674157304,0,0,0,0,,0,0,,0,2,0,0,0,,1.0,0,73.2127054052396,-1.3766500019271737,0.8708966374397278,0.8415144085884094,-2.034374824592045,-4.287567138671875,2.034374824592045,4.287567138671875,0.834865323134831,0.7681030035018921,7,0,,PASS,
US-00037,gpt-oss:120b,0,0,7,7,0.9655688622754492,,0.98125,0,0,0,0,,0,0,,0,8,0,0,0,,1.0,0,83.11937294032423,-0.6460253694522509,0.8077306917735508,0.7363216876983643,-2.67471616608756,-6.580960273742676,2.67471616608756,6.580960273742676,0.7186299392155239,0.5438697338104248,7,0,,PASS,
US-00038,gpt-oss:120b,0,0,8,8,0.9985775248933144,,0.98,0,0,0,0,,0,0,,0,9,0,0,0,,1.0,0,71.0049018352465,0.0125207316312589,0.7995493933558464,0.6293643712997437,-1.358870029449463,-3.656038761138916,1.358870029449463,3.656038761138916,0.683891549706459,0.5241261720657349,8,0,,PASS,
US-00039,gpt-oss:120b,1,0,6,6,0.9800884955752212,,0.9786324786324786,0,0,0,0,,0,0,,0,2,0,0,0,,1.0,0,78.64163165408699,-0.3563484440517024,0.85352690021197,0.8127201795578003,-0.9090656687815984,-1.918988943099976,0.9090656687815984,1.918988943099976,0.8081635137399038,0.6875784397125244,6,0,,PASS,
US-00040,gpt-oss:120b,0,0,6,6,0.9776264591439688,,0.990234375,0,0,0,0,,0,0,,0,4,0,0,0,,1.0,0,74.09083041739768,-0.4054678073926853,0.8432274063428243,0.7567219734191895,-1.3360430896282196,-5.808379173278809,1.3360430896282196,5.808379173278809,0.8244735300540924,0.6452584266662598,6,0,,PASS,
