check,gpt-oss:120b
records,500
precomposed chars (items),84 (56)
option count mismatch (items),1
items with other-script letters,6
items with untranslated English (words),58 (81)
English gloss words,13
items with a hard number miss,3
items with a soft number miss,7
items with duplicate options,0
items with length z beyond 3.5,5
items with option_swap,34
items with any hard flag,100
consensus chrF mean,n/a (1 translator)
round-trip chrF mean (min),74.9 (58.4)
cometkiwi_mean (mean over items),0.819
cometkiwi_min (mean over items),0.706
metricx_err_mean (mean over items),1.726
metricx_err_max (mean over items),5.006
labse_mean (mean over items),0.772
labse_min (mean over items),0.62
decision PASS,394
decision FLAG,100
decision REVIEW,6
